rFactor	fee
729000000000000000	1512275009483549
730000000000000000	1512434897830139
731000000000000000	1512599267604485
732000000000000000	1512768286791802
733000000000000000	1512942131270229
734000000000000000	1513120985256940
735000000000000000	1513305041783728
736000000000000000	1513494503204293
737000000000000000	1513689581735655
738000000000000000	1513890500036318
739000000000000000	1514097491824030
740000000000000000	1514310802536260
741000000000000000	1514530690036749
742000000000000000	1514757425371832
743000000000000000	1514991293580518
744000000000000000	1515232594562720
745000000000000000	1515481644010385
746000000000000000	1515738774406750
747000000000000000	1516004336099401
748000000000000000	1516278698453389
749000000000000000	1516562251091194
750000000000000000	1516855405227029
751000000000000000	1517158595103679
752000000000000000	1517472279540847
753000000000000000	1517796943604913
754000000000000000	1518133100410940
755000000000000000	1518481293068885
756000000000000000	1518842096787180
757000000000000000	1519216121148163
758000000000000000	1519604012571375
759000000000000000	1520006456982378
760000000000000000	1520424182706616
761000000000000000	1520857963609914
762000000000000000	1521308622509520
763000000000000000	1521777034882184
764000000000000000	1522264132898667
765000000000000000	1522770909817310
766000000000000000	1523298424772920
767000000000000000	1523847808001317
768000000000000000	1524420266544455
769000000000000000	1525017090486166
770000000000000000	1525639659774383
771000000000000000	1526289451692162
772000000000000000	1526968049047211
773000000000000000	1527677149157853
774000000000000000	1528418573722708
775000000000000000	1529194279671881
776000000000000000	1530006371109349
777000000000000000	1530857112469678
778000000000000000	1531748943027360
779000000000000000	1532684492914297
780000000000000000	1533666600820318
781000000000000000	1534698333573650
782000000000000000	1535783007823085
783000000000000000	1536924214071691
784000000000000000	1538125843343654
785000000000000000	1539392116801677
786000000000000000	1540727618672702
787000000000000000	1542137332885185
788000000000000000	1543626683872087
789000000000000000	1545201582050775
790000000000000000	1546868474554491
791000000000000000	1548634401860384
792000000000000000	1550507061036414
793000000000000000	1552494876413606
794000000000000000	1554607078580675
795000000000000000	1556853792693613
796000000000000000	1559246137191221
797000000000000000	1561796334105160
798000000000000000	1564517832243938
799000000000000000	1567425444605710
800000000000000000	1570535501421762
801000000000000000	1573866020232157
802000000000000000	1577436894320031
803000000000000000	1581270100642647
804000000000000000	1585389928040894
805000000000000000	1589823225907844
806000000000000000	1594599672544756
807000000000000000	1599752060982447
808000000000000000	1605316597895828
809000000000000000	1611333208115751
810000000000000000	1617845832777218
811000000000000000	1624902702847786
812000000000000000	1632556561017109
813000000000000000	1640864792883951
814000000000000000	1649889412045022
815000000000000000	1659696821885275
816000000000000000	1670357248302332
817000000000000000	1681943701065255
818000000000000000	1694530276292154
819000000000000000	1708189559140778
820000000000000000	1722988827249700
821000000000000000	1738984699282724
822000000000000000	1756215834160918
823000000000000000	1774693291662766
824000000000000000	1794388256054270
825000000000000000	1815217061386444
826000000000000000	1837023914968999
827000000000000000	1859562467756662
828000000000000000	1882478460423544
829000000000000000	1905297007338477
830000000000000000	1927419395194987
831000000000000000	1948135026080110
832000000000000000	1966653544598628
833000000000000000	1982159481157196
834000000000000000	1993886660067038
835000000000000000	2001203019446611
836000000000000000	2003690581635665
837000000000000000	2006178143824720
838000000000000000	2013494503204293
839000000000000000	2025221682114134
840000000000000000	2040727618672702
841000000000000000	2059246137191221
842000000000000000	2079961768076343
843000000000000000	2102084155932854
844000000000000000	2124902702847786
845000000000000000	2147818695514669
846000000000000000	2170357248302332
847000000000000000	2192164101884886
848000000000000000	2212992907217061
849000000000000000	2232687871608565
850000000000000000	2251165329110413
851000000000000000	2268396463988606
852000000000000000	2284392336021630
853000000000000000	2299191604130553
854000000000000000	2312850886979177
855000000000000000	2325437462206075
856000000000000000	2337023914968999
857000000000000000	2347684341386055
858000000000000000	2357491751226309
859000000000000000	2366516370387380
860000000000000000	2374824602254222
861000000000000000	2382478460423544
862000000000000000	2389535330494113
863000000000000000	2396047955155579
864000000000000000	2402064565375503
865000000000000000	2407629102288883
866000000000000000	2412781490726574
867000000000000000	2417557937363486
868000000000000000	2421991235230437
869000000000000000	2426111062628683
870000000000000000	2429944268951299
871000000000000000	2433515143039174
872000000000000000	2436845661849569
