block	shorEMA	longEMA	rFactor	fee
9980	1000000000000000000	1000000000000000000	157499440940250523	1503907707193131
10000	1000000000000000000	1000000000000000000	156917188576562345	1503907335182861
10020	1000000000000000000	1000000000000000000	156337088714578285	1503906965497687
10040	1000000000000000000	1000000000000000000	155759133396814820	1503906598118792
10060	1000000000000000000	1000000000000000000	155183314695206083	1503906233027553
10080	1000000000000000000	1000000000000000000	154609624710995112	1503905870205536
10100	1000000000000000000	1000000000000000000	154038055574625488	1503905509634499
10120	1000000000000000000	1000000000000000000	153468599445633375	1503905151296385
10140	1000000000000000000	1000000000000000000	152901248512540019	1503904795173323
10160	1000000000000000000	1000000000000000000	152335994992744527	1503904441247624
10180	1000000000000000000	1000000000000000000	151772831132417153	1503904089501776
10200	1000000000000000000	1000000000000000000	151211749206392919	1503903739918449
10220	1000000000000000000	1000000000000000000	150652741518065652	1503903392480485
10240	1000000000000000000	1000000000000000000	150095800399282423	1503903047170900
10260	1000000000000000000	1000000000000000000	149540918210238309	1503902703972883
10280	1000000000000000000	1000000000000000000	148988087339371644	1503902362869790
10300	1000000000000000000	1000000000000000000	148437300203259602	1503902023845145
10320	1000000000000000000	1000000000000000000	147888549246514133	1503901686882636
10340	1000000000000000000	1000000000000000000	147341826941678374	1503901351966115
10360	1000000000000000000	1000000000000000000	146797125789123356	1503901019079593
10380	1000000000000000000	1000000000000000000	146254438316945131	1503900688207242
10400	1000000000000000000	1000000000000000000	145713757080862317	1503900359333391
10420	1000000000000000000	1000000000000000000	145175074664113915	1503900032442522
10440	1000000000000000000	1000000000000000000	144638383677357627	1503899707519272
10460	1000000000000000000	1000000000000000000	144103676758568459	1503899384548429
10480	1000000000000000000	1000000000000000000	143570946572937748	1503899063514931
10500	1000000000000000000	1000000000000000000	143040185812772546	1503898744403862
10520	1000000000000000000	1000000000000000000	142511387197395379	1503898427200454
10540	1000000000000000000	1000000000000000000	141984543473044363	1503898111890082
10560	1000000000000000000	1000000000000000000	141459647412773722	1503897798458264
10580	1000000000000000000	1000000000000000000	140936691816354625	1503897486890659
10600	1000000000000000000	1000000000000000000	140415669510176445	1503897177173065
10620	1000000000000000000	1000000000000000000	139896573347148327	1503896869291417
10640	1000000000000000000	1000000000000000000	139379396206601177	1503896563231787
10660	1000000000000000000	1000000000000000000	138864130994189981	1503896258980380
10680	1000000000000000000	1000000000000000000	138350770641796447	1503895956523533
10700	1000000000000000000	1000000000000000000	137839308107432117	1503895655847717
10720	1000000000000000000	1000000000000000000	137329736375141701	1503895356939531
10740	1000000000000000000	1000000000000000000	136822048454906901	1503895059785701
10760	1000000000000000000	1000000000000000000	136316237382550462	1503894764373080
10780	1000000000000000000	1000000000000000000	135812296219640703	1503894470688648
